GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservicio-resenas,com.perfulandia.resenas.exceptions,GlobalExceptionHandler,0,39,0,0,0,9,0,4,0,4
microservicio-resenas,com.perfulandia.resenas,ResenasApplication,5,3,0,0,2,1,1,1,1,1
microservicio-resenas,com.perfulandia.resenas.service,ResenaService,0,76,0,8,0,19,0,10,0,6
microservicio-resenas,com.perfulandia.resenas.controller,ResenaController,0,74,0,4,0,16,0,8,0,6
