GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservicio-promocion,com.perfulandia.promocion.service,PromocionService,0,131,0,8,0,33,0,13,0,9
microservicio-promocion,com.perfulandia.promocion.exceptions,GlobalExceptionHandler,36,3,0,0,8,1,3,1,3,1
microservicio-promocion,com.perfulandia.promocion,PromocionApplication,5,3,0,0,2,1,1,1,1,1
microservicio-promocion,com.perfulandia.promocion.controller,PromocionController,0,100,0,6,0,26,0,10,0,7
