GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservicio-cliente,com.perfulandia.cliente.service,ClienteService,0,124,4,10,0,29,4,11,0,8
microservicio-cliente,com.perfulandia.cliente,ClienteApplication,5,3,0,0,2,1,1,1,1,1
microservicio-cliente,com.perfulandia.cliente.exceptions,GlobalExceptionHandler,36,3,0,0,8,1,3,1,3,1
microservicio-cliente,com.perfulandia.cliente.controller,ClienteController,0,142,0,2,0,27,0,15,0,14
